model,n,mae_f,rmse_f,bias_f,median_ae_f,p90_ae_f,within_1f,within_2f,within_3f,mae_skill_vs_nbm,month,interval_n,coverage,mean_width_f
Ridge residual,205,1.8521209702350667,2.591230775070025,-0.29290512121535073,1.3570383048228791,3.9582002283438062,0.3804878048780488,0.6682926829268293,0.8439024390243902,0.3649693947178648,8,,,
XGBoost residual,205,1.9134206290434055,2.6567602152588576,0.13367414864098073,1.4347650289535494,3.993006510734551,0.3902439024390244,0.6390243902439025,0.8195121951219512,0.343951782983947,8,205.0,0.6292682926829268,3.9805220257945186
Station blend residual,205,1.786103278284361,2.4844399942557884,-0.2038095999070575,1.2722175402826963,3.7160588975498907,0.3951219512195122,0.6731707317073171,0.824390243902439,0.3876046629063489,8,,,
Seasonal climatology,150,6.02263157894737,8.053637895228864,-3.7350125313283216,4.428571428571431,12.597885338345867,0.16666666666666666,0.29333333333333333,0.4,-1.2579223615148845,9,,,
NBM,150,2.667333333333334,3.2493589111289833,-2.4113333333333333,2.5999999999999943,5.299999999999997,0.26666666666666666,0.4,0.5866666666666667,0.0,9,,,
Ridge residual,150,1.7438326803926902,2.323433621431714,-0.34716185087839135,1.2533714237926574,3.6406049290022025,0.41333333333333333,0.6866666666666666,0.88,0.3462261883056649,9,,,
XGBoost residual,150,1.7742605745047324,2.2153713979258676,0.32813598399857663,1.5858609557151766,3.3349183809757275,0.30666666666666664,0.64,0.8666666666666667,0.3348185799157466,9,150.0,0.6333333333333333,4.117152465780582
Station blend residual,150,1.7817957125727635,2.2385079044513128,0.080976406668975,1.5290444570989834,3.3934410113096187,0.30666666666666664,0.6466666666666666,0.86,0.33199360938286815,9,,,
Seasonal climatology,155,6.066263440860215,8.118708878865347,1.3138440860215048,4.1875,14.999999999999996,0.14193548387096774,0.27741935483870966,0.36129032258064514,-1.4737459440498113,10,,,
NBM,155,2.4522580645161294,3.1546074854245774,-1.9967741935483871,2.0,4.580000000000002,0.21935483870967742,0.5096774193548387,0.7032258064516129,0.0,10,,,
Ridge residual,155,1.5504588655659581,2.082790408665693,0.18010169247542984,1.2018243910395512,3.096305899554232,0.4129032258064516,0.7290322580645161,0.8903225806451613,0.36774237263161413,10,,,
XGBoost residual,155,1.6064556255071387,2.127759771513911,0.3448076291814925,1.266515755653387,3.355819685459138,0.4064516129032258,0.7161290322580646,0.8709677419354839,0.3449075981225823,10,155.0,0.7483870967741936,4.28955757202641
