model,n,mae_f,rmse_f,bias_f,median_ae_f,p90_ae_f,within_1f,within_2f,within_3f,mae_skill_vs_nbm,interval_n,coverage,mean_width_f
Seasonal climatology,2459,6.279836614890389,8.86468952594092,-1.6985365514546988,4.299999999999997,14.424999999999997,0.134607564050427,0.2598617324115494,0.379015860105734,-1.3686046837971415,,,
NBM,2459,2.651281008540057,3.309202543233513,-1.9087027246848312,2.200000000000003,5.299999999999997,0.2228548190321269,0.45180967873119154,0.6506710044733631,0.0,,,
Ridge residual,2459,1.8777094037926718,2.5341439244383945,0.19467425077884332,1.4607795727765165,4.065114086553175,0.36600244001626675,0.6494509963399756,0.8178121187474583,0.2917727703157942,,,
XGBoost residual,2459,1.8245957028156736,2.4360886495561633,0.1732585864647202,1.4050345420837402,3.873351860046393,0.37210248068320456,0.640097600650671,0.8222854819032127,0.3118059922963814,2459.0,0.7010980073200488,4.688422788268629
