model,mae_ci_low,mae_ci_high,skill_ci_low,skill_ci_high
NBM,2.569055894308943,2.7244825616297756,0.0,0.0
Ridge residual,1.8159363237312023,1.9471016943881796,0.2685104989480885,0.31539180019416047
XGBoost residual,1.7620666523973412,1.8886397545030906,0.2901753445618068,0.3324339530110239
