model,mae_ci_low,mae_ci_high,skill_ci_low,skill_ci_high
NBM,2.569055894308943,2.7244825616297756,0.0,0.0
Ridge residual,1.8170944236927637,1.9494437369144326,0.26784101816043937,0.31394832319939975
Station blend residual,1.734936861293367,1.859558685028686,0.2999498115840266,0.3460141994070909
XGBoost residual,1.7175246803351654,1.8459048257369406,0.3053225313862211,0.3512360941193693
