model,n,mae_f,rmse_f,bias_f,median_ae_f,p90_ae_f,within_1f,within_2f,within_3f,mae_skill_vs_nbm,month,interval_n,coverage,mean_width_f
Ridge residual,205,1.8639489479935003,2.574410375427616,-0.3506370057857584,1.4193100525063471,3.8685765443013223,0.3902439024390244,0.6585365853658537,0.824390243902439,0.3609139750147725,8,,,
XGBoost residual,205,1.7531438113167517,2.565023503540845,0.15903093765421625,1.133445882797247,4.346555261686446,0.45365853658536587,0.7121951219512195,0.848780487804878,0.3989053665831509,8,205.0,0.7170731707317073,4.020067098547778
Station blend residual,205,1.7408636117522591,2.5031017509881277,-0.00705103103157648,1.2241382598876953,3.9906801396761624,0.4292682926829268,0.7317073170731707,0.8439024390243902,0.4031158380846077,8,,,
Seasonal climatology,150,6.02263157894737,8.053637895228864,-3.7350125313283216,4.428571428571431,12.597885338345867,0.16666666666666666,0.29333333333333333,0.4,-1.2579223615148845,9,,,
NBM,150,2.667333333333334,3.2493589111289833,-2.4113333333333333,2.5999999999999943,5.299999999999997,0.26666666666666666,0.4,0.5866666666666667,0.0,9,,,
Ridge residual,150,1.7538890195343717,2.2910459112969246,-0.33920994511042596,1.4069994694299623,3.728166163351106,0.36,0.6733333333333333,0.8466666666666667,0.34245600367369233,9,,,
XGBoost residual,150,1.7317151676242561,2.220614032174121,0.3039469342703642,1.386157747171822,3.441517249345764,0.35333333333333333,0.6666666666666666,0.8533333333333334,0.35076911986093884,9,150.0,0.62,3.9690320196549114
Station blend residual,150,1.706130718230054,2.1812849169532647,0.18453524561377188,1.386103413622962,3.449078377485258,0.35333333333333333,0.6866666666666666,0.86,0.36036089044111963,9,,,
Seasonal climatology,155,6.066263440860215,8.118708878865347,1.3138440860215048,4.1875,14.999999999999996,0.14193548387096774,0.27741935483870966,0.36129032258064514,-1.4737459440498113,10,,,
NBM,155,2.4522580645161294,3.1546074854245774,-1.9967741935483871,2.0,4.580000000000002,0.21935483870967742,0.5096774193548387,0.7032258064516129,0.0,10,,,
Ridge residual,155,1.56831889421829,2.071185630977929,0.2879873612241205,1.1708746566315824,3.160115764468142,0.4258064516129032,0.7354838709677419,0.8516129032258064,0.360459277548448,10,,,
XGBoost residual,155,1.5517755579948431,2.047320198502681,0.3692691068495489,1.2229336023330717,2.871021482944485,0.4064516129032258,0.7225806451612903,0.9225806451612903,0.36720544201736216,10,155.0,0.7548387096774194,4.124779265080732
Station blend residual,155,1.5763177669706727,2.088097502404211,0.3699834998549738,1.206946301460249,3.0715799291514654,0.4129032258064516,0.7419354838709677,0.8838709677419355,0.35719743783095437,10,,,
Seasonal climatology,150,5.730011695906432,7.715183204070463,2.516327485380117,4.266666666666666,12.852631578947362,0.18666666666666668,0.3,0.4,-1.3368726329145324,11,,,
NBM,150,2.4519999999999995,3.0008221095781957,-1.4306666666666665,2.200000000000003,4.700000000000003,0.22666666666666666,0.46,0.7,0.0,11,,,
Ridge residual,150,1.7049587709508534,2.3118827348724436,0.3853908982363657,1.221906214126033,3.486785827729576,0.41333333333333333,0.7066666666666667,0.8533333333333334,0.3046660803626209,11,,,
XGBoost residual,150,1.5183559219688179,2.2787819651389594,0.24287179488440563,0.9512044221162768,3.2381575870513863,0.5466666666666666,0.74,0.8866666666666667,0.3807683841888996,11,150.0,0.7666666666666667,4.090639027714729
Station blend residual,150,1.5671926803089498,2.243813923760477,0.21377076253815488,1.0888727945852175,3.3503514822316998,0.47333333333333333,0.7466666666666667,0.88,0.3608512723046696,11,,,
Seasonal climatology,155,5.924432882414152,7.473209184710753,1.171768990634754,4.612903225806448,12.459999999999997,0.06451612903225806,0.15483870967741936,0.3096774193548387,-1.0334080973742106,12,,,
NBM,155,2.913548387096774,3.486860127448059,-1.3303225806451613,2.5,5.600000000000001,0.16129032258064516,0.3741935483870968,0.5741935483870968,0.0,12,,,
Ridge residual,155,2.082478387418478,2.888364030789068,0.4763654174168127,1.4029480308589228,5.063207399000255,0.4064516129032258,0.6,0.7548387096774194,0.28524324612519036,12,,,
XGBoost residual,155,2.1581307020350815,2.8568012903106803,0.2197934562688885,1.5167395174503326,5.081750280857087,0.32903225806451614,0.5870967741935483,0.7612903225806451,0.25927754912436307,12,155.0,0.6193548387096774,4.2628131080635105
Station blend residual,155,2.057162969468792,2.820698829701441,0.3739624136182446,1.4375231429555981,4.920590872843847,0.36774193548387096,0.6193548387096774,0.7870967741935484,0.2939321074675316,12,,,
