model,n,mae_f,rmse_f,bias_f,median_ae_f,p90_ae_f,within_1f,within_2f,within_3f,mae_skill_vs_nbm,interval_n,coverage,mean_width_f
Seasonal climatology,2459,6.279836614890389,8.86468952594092,-1.6985365514546988,4.299999999999997,14.424999999999997,0.134607564050427,0.2598617324115494,0.379015860105734,-1.3686046837971415,,,
NBM,2459,2.651281008540057,3.309202543233513,-1.9087027246848312,2.200000000000003,5.299999999999997,0.2228548190321269,0.45180967873119154,0.6506710044733631,0.0,,,
Ridge residual,2459,1.8803711427360503,2.523530999083984,0.1918428537880128,1.451224973954588,4.027097778521094,0.36274908499389996,0.6388775925172835,0.8096787311915413,0.29076882583205044,,,
XGBoost residual,2459,1.7828860135211173,2.420906295517867,0.24282112418385776,1.351357650756853,3.732214221954337,0.381862545750305,0.6657177714518097,0.840585603904026,0.3275378928984697,2459.0,0.7116714111427409,4.479243457892736
Station blend residual,2459,1.795413176725276,2.4298075348493278,0.21234986752310153,1.3764137625694275,3.8180436017131667,0.37454249694997965,0.6632777551850345,0.83529890199268,0.3228129455376251,,,
