model,n,mae_f,rmse_f,bias_f,median_ae_f,p90_ae_f,within_1f,within_2f,within_3f,mae_skill_vs_nbm,interval_n,coverage,mean_width_f
Seasonal climatology,2374,8.510750785933322,11.941559059510201,-4.763174870328795,5.900000000000006,20.72181366510636,0.09056444818871104,0.1988205560235889,0.2877000842459983,-2.2180492738402013,,,
NBM,2374,2.64469250210615,3.308560925866183,-1.8818449873631002,2.25,5.299999999999997,0.22704296545914068,0.45450716090985677,0.6508003369839933,0.0,,,
Ridge residual,2374,1.8922839700724872,2.5470634496237303,0.202936135526592,1.4642955845175365,4.106612624990311,0.35846672283066555,0.6343723673125526,0.8083403538331929,0.2844975479888374,,,
XGBoost residual,2374,1.825154163150851,2.4321362127580315,0.21610043522314942,1.4068868100643144,3.8959062349796247,0.36647009267059816,0.6482729570345409,0.8251895534962089,0.30988038809904916,2374.0,0.8605728727885426,7.077864714118682
