model,n,mae_f,rmse_f,bias_f,median_ae_f,p90_ae_f,within_1f,within_2f,within_3f,mae_skill_vs_nbm,month,interval_n,coverage,mean_width_f
Ridge residual,170,2.615796431666687,3.4524690419976887,-0.86337817258975,2.025313640123983,5.87250725078722,0.29411764705882354,0.5,0.6705882352941176,0.2926906419861035,3,,,
XGBoost residual,170,2.5620383223540637,3.410094316293236,-0.24373530077583622,1.8377488851547241,5.633767045885323,0.27647058823529413,0.5176470588235295,0.6823529411764706,0.30722679370098493,3,170.0,0.711764705882353,6.307038077042384
Seasonal climatology,150,6.236888888888888,8.661575427651075,-2.0866666666666673,4.0,15.296666666666663,0.13333333333333333,0.2866666666666667,0.42,-1.1848046084384238,4,,,
NBM,150,2.854666666666667,3.465121450492994,-2.368,2.549999999999997,5.5,0.18666666666666668,0.3933333333333333,0.6066666666666667,0.0,4,,,
Ridge residual,150,1.7153156945558492,2.2343310977277167,-0.12086022435612355,1.4966108705809305,3.200907872073206,0.3333333333333333,0.6866666666666666,0.86,0.3991187431495158,4,,,
XGBoost residual,150,1.8519955666065229,2.3939178103834644,0.35003091247876733,1.4394449353218093,3.802725310325633,0.3333333333333333,0.6133333333333333,0.8133333333333334,0.3512392924078038,4,150.0,0.9266666666666666,8.903635980367659
Seasonal climatology,315,7.910305845915603,11.047274546047763,-5.449906959899093,5.3548387096774235,18.574193548387097,0.09206349206349207,0.23174603174603176,0.3396825396825397,-2.3007634672982054,5,,,
NBM,315,2.3965079365079363,2.998205812688331,-1.7006349206349205,2.0999999999999943,4.960000000000004,0.25396825396825395,0.49206349206349204,0.692063492063492,0.0,5,,,
Ridge residual,315,1.8624933067081173,2.4271690004018085,0.7616694876990256,1.4077246256049563,4.2179923833857575,0.33650793650793653,0.6571428571428571,0.8031746031746032,0.22283031976015766,5,,,
XGBoost residual,315,1.8816078208268632,2.4204190641815146,0.6296680925479011,1.4827065706252966,3.8869983363151515,0.34285714285714286,0.6222222222222222,0.8126984126984127,0.2148543336064883,5,315.0,0.8666666666666667,8.087516816488339
Seasonal climatology,300,9.57505649717514,14.81966937075677,-7.681864406779662,4.9478813559322035,30.478813559322035,0.12,0.23666666666666666,0.32666666666666666,-3.065841400074368,6,,,
NBM,300,2.355000000000001,2.9022347711146095,-1.2696666666666667,1.9000000000000057,4.900000000000006,0.2633333333333333,0.52,0.71,0.0,6,,,
Ridge residual,300,1.9837339540893133,2.687718162792953,1.091551762148063,1.519317579762756,4.066172743993066,0.38,0.6,0.76,0.15765012565209657,6,,,
XGBoost residual,300,1.6861877548694615,2.2833569664379927,0.6256231584350259,1.3216256499290466,3.8248244717717164,0.41333333333333333,0.69,0.8433333333333334,0.2839967070618,6,300.0,0.85,6.584856627225874
Seasonal climatology,319,10.267492603607963,15.024230783795534,-8.52232120103945,6.096774193548384,29.845864661654133,0.06583072100313479,0.15673981191222572,0.2445141065830721,-3.184655858631584,7,,,
