model,mae_ci_low,mae_ci_high,skill_ci_low,skill_ci_high
NBM,2.5688277493900284,2.7335514336038447,0.0,0.0
Ridge residual,1.8298512777759441,1.9686873178379607,0.2610326022575423,0.30888750775692214
XGBoost residual,1.7608412721389541,1.8961660167436951,0.28827416325921285,0.33102618140620976
