model,mae_ci_low,mae_ci_high,skill_ci_low,skill_ci_high
NBM,2.4391971544715445,2.7988262195121947,0.0,0.0
Ridge residual,1.838520090128453,2.166169083954302,0.18118352091354517,0.2898667390487616
Station blend residual,1.7106256733793417,2.008784641953801,0.2438180874070853,0.3374674546605313
XGBoost residual,1.7469026743258331,2.040450804981448,0.2291550468596547,0.32684044552782804
