model,n,mae_f,rmse_f,bias_f,median_ae_f,p90_ae_f,within_1f,within_2f,within_3f,mae_skill_vs_nbm,interval_n,coverage,mean_width_f
Seasonal climatology,9839,7.614280015387628,10.287413004358639,-2.4576302524702824,5.571428571428569,17.432432432432435,0.1093607073889623,0.20845614391706474,0.3003353999390182,-2.163399869582427,,,
NBM,9839,2.4069925805468038,3.0394395710036926,-1.4960463461733917,2.0,4.900000000000006,0.26689704238235595,0.505234271775587,0.6991564183351967,0.0,,,
Ridge residual,9839,1.8889934376464503,2.5322672437887124,0.1730305099372542,1.4401726895420097,4.02836061965737,0.3635532066266897,0.631974794186401,0.8034353084663075,0.21520595746193705,,,
XGBoost residual,9839,1.7680357956413515,2.4215059291097845,0.2606425909395122,1.3277657747268705,3.7611029183864653,0.39089338347393027,0.6734424230104685,0.8323000304909035,0.2654585602255153,9839.0,0.7131822339668665,4.493695875915342
Station blend residual,9839,1.7869872558418949,2.4324431695183995,0.2361714426416992,1.3571281194686833,3.810923876450477,0.38540502083545075,0.6661246061591625,0.8277263949588373,0.2575850585148295,,,
