model,mae_ci_low,mae_ci_high,skill_ci_low,skill_ci_high
NBM,2.3671921866451973,2.4465734639949113,0.0,0.0
Ridge residual,1.8492376865512639,1.9259043385985544,0.19913334301282207,0.23167689823305365
Station blend residual,1.7490364276689165,1.8242064887602514,0.24475243644168293,0.273287266485755
XGBoost residual,1.7307344796522273,1.8063813246549032,0.2529011515455013,0.28048583741959826
