model,n,mae_f,rmse_f,bias_f,median_ae_f,p90_ae_f,within_1f,within_2f,within_3f,mae_skill_vs_nbm,station,interval_n,coverage,mean_width_f
NBM,492,2.221138211382114,2.7372022984726994,-1.3073170731707318,2.0,4.299999999999997,0.28252032520325204,0.516260162601626,0.7134146341463414,0.0,KMSY,,,
Ridge residual,492,1.7548318869632569,2.317109212681075,0.142290531225792,1.353327759004145,3.7282363709065827,0.3943089430894309,0.6483739837398373,0.8109756097560976,0.20994025586939757,KMSY,,,
XGBoost residual,492,1.5913719923182479,2.1276623222156608,0.3166869576111803,1.1580078303814005,3.4626398252695814,0.4329268292682927,0.7052845528455285,0.8577235772357723,0.2835331074116234,KMSY,492.0,0.6971544715447154,4.035426017593563
Station blend residual,492,1.6405637194168328,2.1837816226987115,0.19746145161905224,1.2764204502105727,3.5901540095921267,0.4349593495934959,0.6971544715447154,0.8516260162601627,0.2613860267632854,KMSY,,,
Seasonal climatology,492,8.43696879770692,11.0394322465444,-0.8718993545137923,6.699248120300748,17.682456140350876,0.09349593495934959,0.18292682926829268,0.25203252032520324,-2.908284199672163,KNYC,,,
NBM,492,2.158739837398374,2.7698397417760385,-1.0526422764227643,1.7999999999999972,4.400000000000006,0.3008130081300813,0.573170731707317,0.7439024390243902,0.0,KNYC,,,
Ridge residual,492,2.0423136752446718,2.6139198224858746,0.27927884251340157,1.6499103243826596,4.231344483582423,0.29065040650406504,0.5813008130081301,0.782520325203252,0.0539324656620106,KNYC,,,
XGBoost residual,492,1.8208214822725004,2.3280801973125467,0.3206780905441596,1.517920923233035,3.4460446405410825,0.3170731707317073,0.6239837398373984,0.8455284552845529,0.15653500679967025,KNYC,492.0,0.6849593495934959,4.477314322487245
Station blend residual,492,1.8376113289590554,2.351721474011221,0.2804394816982449,1.5177415694290453,3.605857287170011,0.3252032520325203,0.6178861788617886,0.8353658536585366,0.14875739210257477,KNYC,,,
Seasonal climatology,492,9.664729365180841,11.982345301923761,-5.204784945102161,8.142857142857139,19.372635135135138,0.06097560975609756,0.10569105691056911,0.16260162601626016,-3.2113602406066537,KOKC,,,
NBM,492,2.2949186991869923,2.9017131188989453,-1.219308943089431,1.9000000000000057,4.589999999999998,0.2886178861788618,0.5386178861788617,0.7357723577235772,0.0,KOKC,,,
Ridge residual,492,2.0617772096079325,2.644643632158775,0.2631463096261196,1.706483680947624,4.311796634807885,0.3150406504065041,0.5630081300813008,0.7621951219512195,0.1015903045548644,KOKC,,,
