model,n,mae_f,rmse_f,bias_f,median_ae_f,p90_ae_f,within_1f,within_2f,within_3f,mae_skill_vs_nbm,station,interval_n,coverage,mean_width_f
NBM,492,2.221138211382114,2.7372022984726994,-1.3073170731707318,2.0,4.299999999999997,0.28252032520325204,0.516260162601626,0.7134146341463414,0.0,KMSY,,,
Ridge residual,492,1.7461764938410416,2.314212862387236,0.1309857233128241,1.36312651492905,3.7420321300804513,0.3902439024390244,0.6524390243902439,0.8191056910569106,0.21383708366600251,KMSY,,,
XGBoost residual,492,1.606692367147019,2.1407017710183243,0.29163008964946063,1.1850478112697616,3.473014065027227,0.42886178861788615,0.7073170731707317,0.8597560975609756,0.27663557408827477,KMSY,492.0,0.717479674796748,4.184334231074141
Station blend residual,492,1.6633338123454926,2.2105090485699037,0.1864127783738866,1.226671923261648,3.5985882329297083,0.4268292682926829,0.6991869918699187,0.8495934959349594,0.2511344841929152,KMSY,,,
Seasonal climatology,492,8.43696879770692,11.0394322465444,-0.8718993545137923,6.699248120300748,17.682456140350876,0.09349593495934959,0.18292682926829268,0.25203252032520324,-2.908284199672163,KNYC,,,
NBM,492,2.158739837398374,2.7698397417760385,-1.0526422764227643,1.7999999999999972,4.400000000000006,0.3008130081300813,0.573170731707317,0.7439024390243902,0.0,KNYC,,,
Ridge residual,492,2.0411103931887515,2.614753308268015,0.31122590080346374,1.6803103658891771,4.173714799374446,0.2967479674796748,0.5833333333333334,0.7865853658536586,0.054489865879987054,KNYC,,,
XGBoost residual,492,1.8114814791798106,2.349713240653583,0.30406467033232154,1.51121841669082,3.523993415832512,0.34146341463414637,0.6178861788617886,0.8434959349593496,0.1608616064810594,KNYC,492.0,0.6910569105691057,4.5561898899635676
Station blend residual,492,1.8412420163809542,2.3889256852810736,0.27458850878250424,1.5108710228983604,3.657932769900068,0.33739837398373984,0.6178861788617886,0.8394308943089431,0.14707553708744048,KNYC,,,
Seasonal climatology,492,9.664729365180841,11.982345301923761,-5.204784945102161,8.142857142857139,19.372635135135138,0.06097560975609756,0.10569105691056911,0.16260162601626016,-3.2113602406066537,KOKC,,,
NBM,492,2.2949186991869923,2.9017131188989453,-1.219308943089431,1.9000000000000057,4.589999999999998,0.2886178861788618,0.5386178861788617,0.7357723577235772,0.0,KOKC,,,
Ridge residual,492,2.051647481981529,2.6222414777787613,0.23602075405156078,1.6657223797071552,4.146410357503398,0.32926829268292684,0.5609756097560976,0.7621951219512195,0.10600428559479935,KOKC,,,
XGBoost residual,492,1.8591446688474438,2.5295915058031735,0.35626751101780213,1.4096346139907823,4.105148922204967,0.3861788617886179,0.6605691056910569,0.7967479674796748,0.18988647854668128,KOKC,492.0,0.7032520325203252,4.658411413800665
Station blend residual,492,1.8902607215667266,2.5354054216776434,0.2947490229304443,1.3977647781372156,4.2223963201046,0.3719512195121951,0.6544715447154471,0.7865853658536586,0.17632780532208903,KOKC,,,
Seasonal climatology,492,8.785597006496921,11.331935808587232,-1.1630261356863614,7.0,18.464342105263164,0.07723577235772358,0.16056910569105692,0.23373983739837398,-2.3481903386494856,KPHL,,,
NBM,492,2.623983739837398,3.2179817438986573,-1.9296747967479673,2.299999999999997,5.299999999999997,0.22764227642276422,0.43902439024390244,0.6260162601626016,0.0,KPHL,,,
Ridge residual,492,1.9694803019406837,2.5213856894003874,-0.03604301741529824,1.6316115169906524,4.151587477857216,0.3394308943089431,0.5752032520325203,0.7723577235772358,0.2494312094850375,KPHL,,,
XGBoost residual,492,1.8021860938708532,2.3295263742393066,0.07726194928589501,1.4123730331659274,3.829035347104073,0.3475609756097561,0.6585365853658537,0.8191056910569106,0.313187019221952,KPHL,492.0,0.7357723577235772,4.776323745972141
Station blend residual,492,1.8497794600218742,2.3957194545486953,0.03614686266149136,1.4104269877076092,3.8980729614318848,0.35365853658536583,0.6402439024390244,0.7926829268292683,0.29504919106834837,KPHL,,,
Seasonal climatology,492,8.05403509729546,10.531271555529647,-4.020505134000894,6.013513513513516,17.83333333333333,0.08739837398373984,0.18089430894308944,0.27235772357723576,-3.3174823140873464,KPHX,,,
NBM,492,1.8654471544715445,2.2475460873214916,-1.5808943089430894,1.7000000000000028,3.4000000000000057,0.3008130081300813,0.6036585365853658,0.8536585365853658,0.0,KPHX,,,
Ridge residual,492,1.3423148501536228,1.8185567776613036,0.18913289775250858,1.024635380193999,2.9379487141819056,0.48577235772357724,0.790650406504065,0.9024390243902439,0.28043265823100616,KPHX,,,
XGBoost residual,492,1.2191264507928632,1.6916145906138609,0.11871362103043144,0.9372980535030351,2.6441305673122404,0.5386178861788617,0.8353658536585366,0.9288617886178862,0.3464695861951528,KPHX,492.0,0.7276422764227642,3.1618965697240013
Station blend residual,492,1.2582371923987452,1.7270854802282714,0.16666302773902938,0.9919105165923483,2.6765743213781583,0.5040650406504065,0.8292682926829268,0.9207317073170732,0.32550370597060063,KPHX,,,
Seasonal climatology,492,6.190669401863037,8.682920372328205,-1.6359112146804264,3.86666666666666,15.58115055079559,0.21747967479674796,0.32723577235772355,0.42276422764227645,-2.1325818633308797,KSAT,,,
NBM,492,1.9762195121951218,2.534722287188625,-0.5981707317073169,1.7000000000000028,4.099999999999994,0.3333333333333333,0.6178861788617886,0.8028455284552846,0.0,KSAT,,,
Ridge residual,492,1.8268356759385564,2.4327742045545095,0.11690801260233975,1.399350824261603,3.7530498032373543,0.3699186991869919,0.6463414634146342,0.806910569105691,0.07559071010822804,KSAT,,,
XGBoost residual,492,1.7693172547958673,2.3626482512607225,0.29231502236041285,1.3768289983272552,3.7258388417959214,0.39227642276422764,0.6524390243902439,0.8130081300813008,0.1046959895509958,KSAT,492.0,0.733739837398374,4.877913369859262
Station blend residual,492,1.795601975645174,2.4093069424939917,0.24324036362942625,1.3799122191882702,3.7371830534769614,0.37601626016260165,0.6504065040650406,0.8211382113821138,0.09139548285773358,KSAT,,,
Seasonal climatology,492,6.406316967571686,8.440553216086357,-2.0061624521074495,5.142857142857139,14.5,0.11178861788617886,0.21747967479674796,0.3089430894308943,-1.9219504478031606,KSEA,,,
NBM,492,2.1924796747967483,2.730522300315514,-1.2563008130081303,2.0,4.190000000000006,0.2621951219512195,0.5182926829268293,0.7398373983739838,0.0,KSEA,,,
Ridge residual,492,2.0010786833813987,2.7564896010523583,0.3899627044270064,1.5661860341943061,4.446524041789512,0.3638211382113821,0.5975609756097561,0.7987804878048781,0.0872988669475776,KSEA,,,
XGBoost residual,492,1.8876741288407288,2.6803001066362886,0.47212404018325715,1.3252383589744596,4.127413243651392,0.38414634146341464,0.6788617886178862,0.8028455284552846,0.13902320256824097,KSEA,492.0,0.7012195121951219,4.533305530891399
Station blend residual,492,1.9215541190993555,2.705832531634414,0.5247294292660319,1.4218604750256887,4.302951467037203,0.3638211382113821,0.6565040650406504,0.8028455284552846,0.12357038416901567,KSEA,,,
Seasonal climatology,492,4.579909950847248,6.203792701438066,-1.568565698705548,3.447222222222223,9.881063122923587,0.17479674796747968,0.29065040650406504,0.45528455284552843,-0.6612471953825168,KSFO,,,
NBM,492,2.7569105691056914,3.5377292795357524,-1.4308943089430894,2.200000000000003,5.700000000000003,0.23577235772357724,0.4695121951219512,0.6463414634146342,0.0,KSFO,,,
Ridge residual,492,2.397272031985711,3.136276095446915,0.4247228384651006,1.8627283904214096,5.068377674822688,0.2926829268292683,0.524390243902439,0.693089430894309,0.13044983799987486,KSFO,,,
XGBoost residual,492,2.4411161496228266,3.2181354902920916,0.604637739187243,1.9242904365062756,5.604702807068835,0.2845528455284553,0.516260162601626,0.709349593495935,0.11454648657149036,KSFO,492.0,0.6605691056910569,5.683756219111079
Station blend residual,492,2.3618007249513835,3.1314514670938154,0.4282678217958147,1.8635939472242171,5.30443240864708,0.3008130081300813,0.5304878048780488,0.7032520325203252,0.14331616287519866,KSFO,,,
