model,n,mae_f,rmse_f,bias_f,median_ae_f,p90_ae_f,within_1f,within_2f,within_3f,mae_skill_vs_nbm,interval_n,coverage,mean_width_f
Seasonal climatology,9839,7.614280015387628,10.287413004358639,-2.4576302524702824,5.571428571428569,17.432432432432435,0.1093607073889623,0.20845614391706474,0.3003353999390182,-2.163399869582427,,,
NBM,9839,2.4069925805468038,3.0394395710036926,-1.4960463461733917,2.0,4.900000000000006,0.26689704238235595,0.505234271775587,0.6991564183351967,0.0,,,
Ridge residual,9839,1.8852217382859249,2.530239678215934,0.1646876599110777,1.4343184744712119,4.035328372563399,0.3660941152556154,0.6328895212928143,0.8030287630856794,0.2167729333599967,,,
XGBoost residual,9839,1.7880020211081677,2.4461535825969505,0.26107800682772586,1.3452444553375358,3.87130306482315,0.3894704746417319,0.6689704238235593,0.8272182132330521,0.2571634679895931,9839.0,0.7150116881796931,4.55288394863202
Station blend residual,9839,1.805446001240556,2.456564936810787,0.22731844367805473,1.360191569541911,3.900294574884407,0.382660839516211,0.6626689704238236,0.8218314869397296,0.24991625822527153,,,
