model,mae_ci_low,mae_ci_high,skill_ci_low,skill_ci_high
NBM,2.3671921866451973,2.4465734639949113,0.0,0.0
Ridge residual,1.8463113207622492,1.9241423913619882,0.20083626241988864,0.23286556021974472
Station blend residual,1.7674482117273673,1.842709576339352,0.23679319273223026,0.2658355438468925
XGBoost residual,1.749170230244725,1.8247861578480553,0.24362818441787712,0.2715851516647831
