model,n,mae_f,rmse_f,bias_f,median_ae_f,p90_ae_f,within_1f,within_2f,within_3f,mae_skill_vs_nbm,interval_n,coverage,mean_width_f
Seasonal climatology,10279,7.472733599568555,10.127989427026671,-2.435118652352545,5.428571428571431,17.14285714285714,0.11051658721665532,0.21179103025586146,0.3051853293121899,-2.0997045527719447,,,
NBM,10279,2.4107889872555694,3.038433801955963,-1.5073353439050492,2.0,4.900000000000006,0.2653954664850666,0.5028699289814185,0.6981223854460551,0.0,,,
Ridge residual,10279,1.8803211120493108,2.5180213068001853,0.1519647955609545,1.439986675532765,3.998030758545835,0.3635567662223952,0.634302947757564,0.8043584006226286,0.2200391149995009,10279.0,0.8438564062652009,7.022972216719837
XGBoost residual,10279,1.7503156561751476,2.3989441624786774,0.22488389895618607,1.3135045066475897,3.7410789608955453,0.39809319972759993,0.6788598112656873,0.8349061192723027,0.27396563306533994,10279.0,0.845607549372507,6.651729033474684
Station blend residual,10279,1.7574250195211014,2.395321976230444,0.20374000929069203,1.3227653986255632,3.7560215796709997,0.39527191361027336,0.674773810681973,0.8305282615040374,0.27101665520641627,10279.0,0.8785874112267731,7.457006077344133
