model,n,mae_f,rmse_f,bias_f,median_ae_f,p90_ae_f,within_1f,within_2f,within_3f,mae_skill_vs_nbm,station,interval_n,coverage,mean_width_f
Seasonal climatology,514,6.812420414808765,8.85172087346988,-2.1048649144068863,5.470930232558139,14.892026578073095,0.10894941634241245,0.19649805447470817,0.2898832684824903,-1.3396926989253672,KATL,,,
NBM,514,2.911673151750973,3.5031114574430093,-2.391050583657588,2.700000000000003,5.399999999999999,0.1867704280155642,0.39105058365758755,0.5719844357976653,0.0,KATL,,,
Ridge residual,514,1.9440203611281919,2.5545844253653094,0.10011396134824549,1.5587101460959119,4.03240609138762,0.3424124513618677,0.6264591439688716,0.791828793774319,0.3323356503943,KATL,514.0,0.8657587548638133,7.22493187805805
XGBoost residual,514,1.783874244831415,2.414382338870187,0.08964025601454796,1.3602042734623012,3.940370583534235,0.38910505836575876,0.6828793774319066,0.8190661478599222,0.38733705609825786,KATL,514.0,0.857976653696498,7.018524223426899
Station blend residual,514,1.8124837801525853,2.4222117495597,0.14869361684164786,1.3741841264765924,3.8630738322482596,0.35992217898832685,0.6750972762645915,0.8229571984435797,0.37751125016809517,KATL,514.0,0.896887159533074,7.658771852692956
Seasonal climatology,514,6.961023787341806,9.308724371269474,-2.5420091604902457,4.862724014336919,16.397499999999997,0.10311284046692606,0.1926070038910506,0.29766536964980544,-1.6783189061259738,KAUS,,,
NBM,514,2.5990272373540857,3.1649435546752103,-1.5542801556420236,2.4000000000000057,4.900000000000006,0.21595330739299612,0.42412451361867703,0.6400778210116731,0.0,KAUS,,,
Ridge residual,514,1.9001962138235389,2.6174204542473083,0.18253924500236313,1.3755968380110204,3.9239887981895634,0.3754863813229572,0.6284046692607004,0.7859922178988327,0.26888176217883153,KAUS,514.0,0.8482490272373541,7.5996855039675095
XGBoost residual,514,1.8687718677595406,2.6057099086381044,0.25389167239512594,1.3830058932304468,3.9871064305305493,0.3715953307392996,0.6478599221789884,0.8190661478599222,0.2809725727761031,KAUS,514.0,0.8424124513618677,7.505229846188069
Station blend residual,514,1.855116100436949,2.571079076383067,0.24015250501309854,1.429912311794368,3.8254122509814334,0.3852140077821012,0.6400778210116731,0.8093385214007782,0.2862267567747647,KAUS,514.0,0.8715953307392996,8.306761440549161
Seasonal climatology,514,8.829887749062161,11.401268669374337,-0.8965867784697705,7.521438953488371,17.26322580645161,0.07782101167315175,0.1614785992217899,0.22178988326848248,-2.68300113853603,KBOS,,,
NBM,514,2.397470817120623,3.1832459023311683,-1.0928015564202336,1.7999999999999972,5.069999999999995,0.29766536964980544,0.5389105058365758,0.7101167315175098,0.0,KBOS,,,
Ridge residual,514,2.054426875065963,2.8219048725454234,0.13190030138996062,1.5084246356850386,4.359992333871409,0.3443579766536965,0.6070038910505836,0.77431906614786,0.14308576338237045,KBOS,514.0,0.8560311284046692,7.833849188718769
XGBoost residual,514,1.9026349611884772,2.60607189361287,0.14194614127249308,1.4997272364795222,3.94629129171372,0.3657587548638132,0.622568093385214,0.8151750972762646,0.20639911543384148,KBOS,514.0,0.857976653696498,7.361447199715251
Station blend residual,514,1.899604865649925,2.6317505576751414,0.14694867925964736,1.4668041922268564,3.950011011293547,0.36770428015564205,0.632295719844358,0.8015564202334631,0.2076629871426915,KBOS,514.0,0.8793774319066148,8.209718228953562
Seasonal climatology,514,8.243009777712814,10.535855927738405,-0.7406381388778288,6.836559139784946,17.52333333333333,0.10311284046692606,0.18093385214007782,0.2490272373540856,-2.1801448815915223,KDCA,,,
NBM,514,2.5920233463035025,3.1963591885545046,-1.552334630350195,2.200000000000003,5.299999999999997,0.23346303501945526,0.4727626459143969,0.6575875486381323,0.0,KDCA,,,
Ridge residual,514,2.1432194108777907,2.735106741352672,0.3901873994651524,1.846019842759297,4.2620416638990175,0.29377431906614787,0.546692607003891,0.7587548638132295,0.17314810688945115,KDCA,514.0,0.8540856031128404,7.8398123980114995
XGBoost residual,514,2.1145692821356543,2.7225144926445264,0.4069058702769407,1.7390821278095245,4.228322968482971,0.27431906614785995,0.556420233463035,0.7626459143968871,0.18420129774245586,KDCA,514.0,0.8560311284046692,7.698652096852256
Station blend residual,514,2.1214020494144386,2.709589634173081,0.3816499821337923,1.8057350347813497,4.423368334843931,0.2723735408560311,0.5389105058365758,0.7821011673151751,0.18156522299855804,KDCA,514.0,0.8891050583657587,8.288256688508485
Seasonal climatology,514,11.033503834324877,14.091670768125866,-5.332518064403855,8.585714285714285,24.120833333333334,0.058365758754863814,0.11673151750972763,0.17315175097276264,-3.2921524035745,KDEN,,,
NBM,514,2.5706225680933854,3.21656401252837,-1.3219844357976653,2.200000000000003,5.299999999999997,0.2529182879377432,0.46303501945525294,0.6673151750972762,0.0,KDEN,,,
Ridge residual,514,2.029438929507473,2.747073195266343,0.41733627015204344,1.5054718535117573,4.356530006910548,0.33657587548638135,0.6128404669260701,0.7859922178988327,0.21052629246436005,KDEN,514.0,0.8618677042801557,8.19626725810962
XGBoost residual,514,2.0495046367397682,2.7863385239984395,0.43756187192168056,1.5666003525257182,4.327367820739758,0.3346303501945525,0.603112840466926,0.77431906614786,0.20272051518637646,KDEN,514.0,0.8540856031128404,7.9611645735263945
