model,mae_ci_low,mae_ci_high,skill_ci_low,skill_ci_high
NBM,2.374601105541577,2.445001945525292,0.0,0.0
Ridge residual,1.8399893117825212,1.918360874308887,0.20542422829349147,0.23540604470137805
Station blend residual,1.7216039531481495,1.7942436586146455,0.2561708864578837,0.28478529518886336
XGBoost residual,1.7169976514542202,1.786744838226267,0.2596132382481675,0.2878957634185327
