model,n,mae_f,rmse_f,bias_f,median_ae_f,p90_ae_f,within_1f,within_2f,within_3f,mae_skill_vs_nbm,month,interval_n,coverage,mean_width_f
Seasonal climatology,620,9.426342351716961,12.089482823363047,-1.8025234131113426,7.325000000000003,20.5,0.07096774193548387,0.14838709677419354,0.22419354838709676,-3.05518474747746,1,,,
NBM,620,2.3245161290322582,3.029185986686107,-1.353225806451613,1.8999999999999986,4.799999999999997,0.30483870967741933,0.5419354838709678,0.7096774193548387,0.0,1,,,
Ridge residual,620,1.8817250387948627,2.436045920556411,-0.05967225977576572,1.5326531091771187,3.654842799952135,0.3370967741935484,0.6225806451612903,0.8064516129032258,0.19048742433193533,1,620.0,0.882258064516129,7.8680710470348165
XGBoost residual,620,1.785864245489882,2.4057302718997833,0.04899724713825261,1.3679393693804727,3.6788501930236843,0.3870967741935484,0.6709677419354839,0.8354838709677419,0.23172645558997584,1,620.0,0.8725806451612903,7.444996636559165
Station blend residual,620,1.7681142772353453,2.3646255904536404,0.022494126147960394,1.3735857848742157,3.56739335011521,0.38225806451612904,0.6516129032258065,0.8387096774193549,0.23936243971279902,1,620.0,0.9129032258064517,8.211171578335517
Seasonal climatology,560,8.691628171538886,10.957480372749142,-3.6067136651958087,7.054054054054056,18.58648648648649,0.08928571428571429,0.15357142857142858,0.2125,-2.6429247631627697,2,,,
NBM,560,2.385892857142857,3.01983029324497,-1.6573214285714284,2.0,5.200000000000003,0.2839285714285714,0.5142857142857142,0.7160714285714286,0.0,2,,,
Ridge residual,560,1.9525634710207562,2.529292803822771,-0.17538803512355702,1.5558299384038605,4.0324499650291274,0.3339285714285714,0.6053571428571428,0.7803571428571429,0.18162147760525138,2,560.0,0.8535714285714285,7.297733820022856
XGBoost residual,560,1.7310914625499418,2.299168767525399,0.08127228724611724,1.426456391811369,3.6078623887896537,0.4089285714285714,0.6517857142857143,0.8339285714285715,0.27444710797996585,2,560.0,0.8642857142857143,6.946744238795448
Station blend residual,560,1.77743835037323,2.341476040889484,0.003746770576056286,1.4272429066556924,3.6213870640666888,0.3875,0.6375,0.8321428571428572,0.25502172276849866,2,560.0,0.8857142857142857,7.660478085848597
Seasonal climatology,620,9.339225128862862,11.736107582927694,-3.134242431575636,7.4744936234058486,20.723030757689422,0.06451612903225806,0.13225806451612904,0.1967741935483871,-2.4370033714578105,3,,,
NBM,620,2.7172580645161295,3.5882132313379023,-1.5453225806451616,2.1000000000000014,5.910000000000007,0.2709677419354839,0.4854838709677419,0.6758064516129032,0.0,3,,,
Ridge residual,620,2.189667040463537,2.92433986545965,-0.16026252416723255,1.622826085870912,4.8079294163742095,0.3193548387096774,0.5741935483870968,0.7225806451612903,0.19416301710251516,3,620.0,0.8048387096774193,7.426583323930899
XGBoost residual,620,2.013976865870233,2.7776329361872323,0.12939958134388102,1.4904268011450768,4.64372374296189,0.36612903225806454,0.6193548387096774,0.7677419354838709,0.25882017163913806,3,620.0,0.832258064516129,7.247370841241173
Station blend residual,620,2.0220133168334087,2.7802378806379853,0.061379596958762855,1.463460754947988,4.661794082052802,0.3741935483870968,0.6080645161290322,0.7612903225806451,0.25586261266889465,3,620.0,0.8564516129032258,7.895656831912361
Seasonal climatology,1100,8.070891774891775,10.723002255221793,-2.61896103896104,6.0,18.77,0.10727272727272727,0.20636363636363636,0.3009090909090909,-2.4697232783761094,4,,,
NBM,1100,2.3260909090909094,2.9786497856335084,-1.2884545454545457,1.9000000000000057,4.799999999999997,0.28454545454545455,0.5345454545454545,0.7281818181818182,0.0,4,,,
Ridge residual,1100,1.9969127927623616,2.702325567819682,0.2651418009002435,1.469374355248661,4.390838357497205,0.35818181818181816,0.6072727272727273,0.7763636363636364,0.1415155852430542,4,1100.0,0.84,7.529947724787969
XGBoost residual,1100,1.7969073141801426,2.494793560219112,0.44667599386332346,1.3272740960121112,3.7344218492508037,0.3981818181818182,0.6736363636363636,0.8163636363636364,0.2274991028263741,4,1100.0,0.8472727272727273,6.738998564655131
Station blend residual,1100,1.8338259947349453,2.5326718587270642,0.40089694278424376,1.3586575477941878,3.908278209012703,0.3972727272727273,0.6554545454545454,0.8045454545454546,0.21162754750129376,4,1100.0,0.88,7.804177984969886
Seasonal climatology,1240,7.89278384784368,10.27829967480759,-3.0910632863494465,6.204545454545453,16.83333333333333,0.09193548387096774,0.1774193548387097,0.25967741935483873,-2.407036124530448,5,,,
NBM,1240,2.3166129032258063,2.9276793628423357,-1.2993548387096776,2.0,4.900000000000006,0.267741935483871,0.5185483870967742,0.7258064516129032,0.0,5,,,
Ridge residual,1240,1.9236555772523485,2.567174293914638,0.34649501725019005,1.4567522981229537,4.17882265380037,0.3588709677419355,0.6217741935483871,0.8016129032258065,0.16962580387352488,5,1240.0,0.8379032258064516,7.201832754890968
XGBoost residual,1240,1.8407468114325007,2.4937180417935294,0.39456680709988096,1.3809141218662333,3.9711565732955796,0.3629032258064516,0.6588709677419354,0.8145161290322581,0.20541459090151737,5,1240.0,0.8088709677419355,6.540266934832438
Station blend residual,1240,1.8320167829359266,2.4757727427883225,0.38779525764914147,1.3749191077576732,3.9616888887075046,0.38306451612903225,0.6580645161290323,0.8169354838709677,0.20918303598114973,5,1240.0,0.8620967741935484,7.4842723595301335
